Id,Nombre,Apellido,Salario,Deudas,Edad,Retefuente,Correo,Telefono,Cargo
47,María,Sánchez López,8072622,False,46,1,María46@correo.com,7437362570,Desarrollador Avanzado
26,Sofía,Torres Sánchez,12190905,True,42,1,Sofía42@correo.com,7539486007,Desarrollador Junior
43,Javier,Fernández Pérez,14277904,True,27,1,Javier27@correo.com,7516170553,Arquitecto
49,Sofía,Martínez Sánchez,1477290,True,59,0,Sofía59@correo.com,5772982011,Desarrollador Junior
78,Miguel,Torres Sánchez,14939100,False,30,1,Miguel30@correo.com,8371770600,Desarrollador Intermedio
67,Juan,López Pérez,5609758,True,32,0,Juan32@correo.com,9133200078,Desarrollador Junior
29,Miguel,Díaz García,9246106,True,35,1,Miguel35@correo.com,7563902663,Desarrollador Avanzado
21,Carlos,Fernández González,11454706,False,23,1,Carlos23@correo.com,9490790037,Desarrollador Intermedio
63,Javier,Fernández González,5177596,True,57,0,Javier57@correo.com,7287093333,Desarrollador Junior
64,María,Carvajal Casillas,14124399,True,26,1,María26@correo.com,7441395772,Desarrollador Junior
36,Sofía,Sánchez López,9510785,True,26,1,Sofía26@correo.com,9556675031,Desarrollador Junior
53,Andrés,Torres Sánchez,10675515,True,35,1,Andrés35@correo.com,8390361573,Desarrollador Avanzado
25,Laura,Fernández González,15239550,True,42,1,Laura42@correo.com,7822085270,Desarrollador Intermedio
58,Ana,Díaz Martínez,16110987,False,28,1,Ana28@correo.com,9026345626,Desarrollador Junior
28,José,Ramírez López,2485462,True,51,0,José51@correo.com,7246734841,Arquitecto
43,Silvia,Díaz García,10490485,False,27,1,Silvia27@correo.com,7448011473,Desarrollador Avanzado
88,Isabel,Torres Sánchez,4165512,False,55,0,Isabel55@correo.com,7699342821,Desarrollador Avanzado
11,Carmen,Ramírez López,11066218,True,22,1,Carmen22@correo.com,7035775943,Desarrollador Avanzado
25,Carlos,González Pérez,8726572,True,56,1,Carlos56@correo.com,5638101365,Desarrollador Junior
99,María,Ramírez López,12674160,False,27,1,María27@correo.com,8297604052,Arquitecto
3,Andrés,Sánchez López,12414676,False,57,1,Andrés57@correo.com,8995306254,Desarrollador Intermedio
50,Ricardo,Hernández Rodríguez,6010600,True,32,1,Ricardo32@correo.com,9359127603,Desarrollador Junior
77,Sofía,Rodríguez López,8071596,False,31,1,Sofía31@correo.com,6474704110,Arquitecto
95,Miguel,Pérez García,9998562,False,41,1,Miguel41@correo.com,8875992631,Desarrollador Junior
10,Sofía,Pérez García,2099034,False,24,0,Sofía24@correo.com,9129433517,Desarrollador Avanzado
42,Fernando,Sánchez García,4905909,True,31,0,Fernando31@correo.com,5696485829,Desarrollador Junior
43,Silvia,Gómez Pérez,2528899,False,37,0,Silvia37@correo.com,6955361486,Arquitecto
66,Fernando,Ramírez López,9517593,True,43,1,Fernando43@correo.com,6206490789,Desarrollador Intermedio
78,Juan,Arisizabal Florez,14301780,True,40,1,Juan40@correo.com,9245315739,Arquitecto
22,Silvia,López González,12038783,True,59,1,Silvia59@correo.com,9300345826,Desarrollador Junior
10,Laura,García Díaz,1640681,False,59,0,Laura59@correo.com,8576233642,Desarrollador Intermedio
51,Laura,González Pérez,8025745,False,28,1,Laura28@correo.com,7296533152,Desarrollador Intermedio
74,Patricia,Gómez Pérez,4713724,True,53,0,Patricia53@correo.com,8801232032,Desarrollador Intermedio
79,Ana,Ramírez López,6259702,True,46,1,Ana46@correo.com,9242754082,Desarrollador Junior
25,Ana,Sánchez López,12991803,False,29,1,Ana29@correo.com,8692349889,Desarrollador Junior
48,Pedro,Ramírez López,7677830,False,31,1,Pedro31@correo.com,7862379447,Desarrollador Intermedio
61,Carmen,Fernández Pérez,5091605,False,31,0,Carmen31@correo.com,8850532499,Desarrollador Junior
44,Miguel,Rodríguez López,15622712,True,41,1,Miguel41@correo.com,9221474955,Desarrollador Junior
1,Laura,Sánchez López,3508213,True,40,0,Laura40@correo.com,8459312179,Desarrollador Intermedio
29,Sofía,Torres Sánchez,1847729,False,25,0,Sofía25@correo.com,8510195071,Arquitecto
30,Fernando,Fernández Pérez,5522772,False,39,0,Fernando39@correo.com,6273348682,Desarrollador Avanzado
44,Andrés,Ramírez López,17960521,False,55,1,Andrés55@correo.com,5701241323,Desarrollador Junior
20,Isabel,Gómez Pérez,15750130,True,44,1,Isabel44@correo.com,8270368249,Desarrollador Junior
21,Ana,Sánchez López,2622346,True,49,0,Ana49@correo.com,6590083742,Arquitecto
58,Patricia,Sánchez López,3473964,False,58,0,Patricia58@correo.com,8248515116,Desarrollador Avanzado
63,José,Pérez García,3665963,False,44,0,José44@correo.com,8640592904,Desarrollador Avanzado
50,Javier,Rodríguez López,16213236,True,43,1,Javier43@correo.com,9184125633,Desarrollador Avanzado
25,Juan,Sánchez García,4038730,True,57,0,Juan57@correo.com,8946157369,Desarrollador Junior
85,Miguel,González Pérez,6686857,True,43,1,Miguel43@correo.com,8592123181,Arquitecto
